animal,dimorphism.binary
Allomerus.octoarticulatus,1
Apterostigma.collare,0
Atta.sexdens,1
Brachymyrmex.patagonicus,1
Camponotus.festinatus,1
Camponotus.floridanus,1
Cataglyphis.aenescens,1
Crematogaster.minutissima,1
Cyphomyrmex.rimosus,0
Dorylus.nigricans,1
Dorymyrmex.insanus,1
Formica.argentea,0
Formica.fusca,1
Harpegnathos.saltator,0
Lasius.flavus,1
Lasius.niger,1
Leptothorax.acervorum,0
Leptothorax.muscorum,0
Monomorium.minimum,1
Mycetophylax.morschi,0
Myrmecocystus.mendax,1
Myrmecocystus.mimicus,1
Myrmica.lobicornis,0
Myrmica.ruginodis,0
Myrmica.scabrinodis,0
Myrmica.tahoensis,0
Neivamyrmex.carolinensis,1
Neivamyrmex.nigrescens,1
Oecophylla.smaragdina,1
Pheidole.pallidula,1
Pheidole.rhea,1
Plagiolepis.pygmaea,0
Plagiolepis.schmitzii,1
Pogonomyrmex.badius,1
Pogonomyrmex.californicus,0
Pogonomyrmex.coarctatus,1
Pogonomyrmex.inermis,0
Pogonomyrmex.mendozanus,0
Pogonomyrmex.occidentalis,0
Pogonomyrmex.pima,0
Sericomyrmex.amabilis,0
Temnothorax.nylanderi,0
Temnothorax.pergandei,0
Veromessor.pergandei,0
Camponotus.nawai,0
Lasius.alienus,1
Lasius.brunneus,1
Myrmica.kotokui,0
Onychomyrmex.hedleyi,0
