animal,Inherent_Constraints_Scale
Acromyrmex.balzani,3
Acromyrmex.crassispinus,3
Acromyrmex.rugosus,3
Anochetus.boltoni,4
Anochetus.elegans,4
Anochetus.goodmani,4
Anochetus.grandidieri,4
Anochetus.maryatiae,4
Anochetus.miserabilis,4
Anochetus.pattersoni,4
Anochetus.vallensis,4
Aphaenogaster.aktaci,3
Aphaenogaster.maculifrons,3
Aphaenogaster.punctaticeps,3
Aphaenogaster.radchenkoi,3
Bothroponera.kruegeri,1
Bothroponera.tesseronoda,1
Brachyponera.lutea,4
Camponotus.abscisus,3
Camponotus.honaziensis,3
Camponotus.linnaei,3
Camponotus.mucronatus,3
Camponotus.piceus,3
Camponotus.rectangularis,3
Camponotus.salvini,3
Camponotus.sanctaefidei,3
Camponotus.sexguttatus,3
Camponotus.solon,3
Camponotus.striatus,3
Camponotus.sylvaticus,3
Crematogaster.arcuata,3
Crematogaster.brasiliensis,3
Crematogaster.carinata,3
Crematogaster.crinosa,3
Crematogaster.erecta,3
Crematogaster.jardinero,3
Crematogaster.laevis,3
Crematogaster.limata,3
Crematogaster.longispina,3
Crematogaster.monteverdensis,3
Crematogaster.montezumia,3
Crematogaster.raptor,3
Crematogaster.rochai,3
Crematogaster.rogenhoferi,3
Crematogaster.sotobosque,3
Crematogaster.torosa,3
Diacamma.australe,1
Diacamma.ceylonense,1
Diacamma.cyaneiventre,1
Diacamma.indicum,1
Diacamma.rugosum,1
Dinoponera.gigantea,1
Dinoponera.lucida,1
Dinoponera.quadriceps,1
Dolichoderus.laminatus,3
Euponera.sikorae,1
Hagensia.havilandi,1
Harpegnathos.saltator,2
Leptogenys.peuqueti,1
Leptogenys.schwabi,1
Metapone.madagascarica,1
Metapone.vincimus,1
Myrmecia.pyriformis,2
Myrmecia.tarsata,3
Ophthalmopone.berthoudi,1
Pheidole.angulifera,4
Plagiolepis.alluaudi,3
Platythyrea.arnoldi,1
Platythyrea.lamellosa,1
Platythyrea.quadridenta,1
Platythyrea.schultzei,1
Platythyrea.tricuspidata,1
Pseudoneoponera.sublaevis,1
Pseudoneoponera.tridentata,1
Rhytidoponera.aurata,1
Rhytidoponera.chalybaea,2
Rhytidoponera.confusa,2
Rhytidoponera.mayri,2
Rhytidoponera.metallica,2
Solenopsis.abdita,4
Solenopsis.carolinensis,4
Solenopsis.lou,4
Solenopsis.papuana,4
Solenopsis.texana,4
Stigmatomma.reclinatum,1
Streblognathus.aethiopicus,1
Streblognathus.peetersi,1
Temnothorax.gordiagini,3
Tetramorium.brevicorne,4
Tetramorium.punctatum,4
Thaumatomyrmex.atrox,1
Thaumatomyrmex.contumax,1
Acromyrmex.coronatus,3
Acromyrmex.echinatior,3
Acromyrmex.landolti,3
Acromyrmex.octospinosus,3
Acromyrmex.subterraneus,3
Acromyrmex.versicolor,3
Acromyrmex.volcanus,3
Anochetus.bequaerti,4
Anochetus.diegensis,4
Anochetus.faurei,4
Anochetus.katonae,4
Anochetus.levaillanti,4
Aphaenogaster.araneoides,3
Aphaenogaster.ashmeadi,3
Aphaenogaster.carolinensis,3
Aphaenogaster.dromedaria,3
Aphaenogaster.flemingi,3
Aphaenogaster.floridana,3
Aphaenogaster.fulva,3
Aphaenogaster.gibbosa,3
Aphaenogaster.lamellidens,3
Aphaenogaster.phalangium,3
Aphaenogaster.rudis,3
Aphaenogaster.senilis,3
Aphaenogaster.smythiesii,3
Aphaenogaster.spinosa,3
Aphaenogaster.subterranea,3
Aphaenogaster.treatae,3
Apterostigma.collare,3
Apterostigma.dentigerum,3
Atta.cephalotes,4
