"","Family","Subfamily","Tribe","Genus","animal","type","caste.number","caste.number.ref","colony.size","colony.size.ref","queen.mating.frequency.original","queen.number.continuous","queen.number.binary","Inherent_Constraints_Scale","Conditional_Constraints_Scale","Constraints_Confidence","Constraints_Scale_Notes","Ref.2","Supercolonial.Helantera.review_no.stringent.nonstringent","social.parasite.Antwiki_no.yes","clonal","hybridisation","Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies","Min_size","Max_size","Raw_Data_all_workers","Sample_size_all_workers","Queen_HW_mean","Queen_HW_mean.1","Sample_size_queen","Raw_data_queen"
"1",NA,NA,NA,NA,"Acanthognathus_brevicornis","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.68,NA,NA
"2",NA,NA,NA,NA,"Acanthognathus_laevigatus","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,"Acanthognathus_lentus","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,"Acanthognathus_rudis","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.63,NA,NA
"5",NA,NA,NA,NA,"Acanthognathus_stipulosus","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,"Acanthognathus_teledectus","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,"Acanthomyrmex_crassispinus","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","Formicidae","Myrmicinae","Myrmecinini","Acanthomyrmex","Acanthomyrmex_minus","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.08,NA,NA
"9","Formicidae","Myrmicinae","Myrmecinini","Acanthomyrmex","Acanthomyrmex_padanensis","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA
"10","Formicidae","Myrmicinae","Myrmecinini","Acanthomyrmex","Acanthomyrmex_sulawesiensis","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.5,NA,NA
"11",NA,NA,NA,NA,"Acanthotichus_arizonensis","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,"Acanthotichus_bentoni","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
