animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Acanthognathus_brevicornis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.68,NA,NA
Acanthognathus_laevigatus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthognathus_lentus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthognathus_ocellatus,Formicidae,Myrmicinae,Attini,Acanthognathus,ant,1,"Blanchard & Moreau, 2017",10,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.67,NA,NA
Acanthognathus_rudis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.63,NA,NA
Acanthognathus_stipulosus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthognathus_teledectus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_careoscrobis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,2,"Yamada et al., 2018",22.2,"Yamada et al., 2018",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_crassispinus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_ferox,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,2,"Holldobler&Wilson, 1990; Gobin & Ito, 2000",53,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.44,NA,NA
Acanthomyrmex_minus,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.08,NA,NA
Acanthomyrmex_notabilis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,2,"Holldobler&Wilson, 1990",40,"Holldobler & Wilson, 1990",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_padanensis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA
Acanthomyrmex_sulawesiensis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.5,NA,NA
Acanthotichus_arizonensis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_bentoni,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_brevicornis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_concavinodis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_emmae,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.03,NA,NA
Acanthotichus_fermoralis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_hispaniolicus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_kirbyi,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_laevigatus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_laticornis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.82,NA,NA
Acanthotichus_lattekei,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_longinodis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_punctiscapus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_quadratus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.1,NA,NA
Acanthotichus_quirozi,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_serratulus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_texanus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_truncatus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_ambiguus,NA,NA,NA,NA,ant,NA,,NA,,5.919,1.25,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_balzani,NA,NA,NA,Acromyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
