Family,Subfamily,Tribe,Genus,animal,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Inherent_Constraints_Scale,Conditional_Constraints_Scale,Constraints_Confidence,Constraints_Scale_Notes,Ref.2,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies
NA,NA,NA,NA,Acanthognathus_brevicornis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthognathus_laevigatus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthognathus_lentus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthognathus_rudis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthognathus_stipulosus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthognathus_teledectus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthomyrmex_crassispinus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,Acanthomyrmex_minus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,Acanthomyrmex_padanensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,Acanthomyrmex_sulawesiensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_arizonensis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_bentoni,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_brevicornis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_concavinodis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_emmae,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_fermoralis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_hispaniolicus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_kirbyi,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_laevigatus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_laticornis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_lattekei,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_longinodis,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_punctiscapus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_quadratus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_quirozi,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_serratulus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_texanus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,NA,Acanthotichus_truncatus,ant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0
NA,NA,NA,Acromyrmex,Acromyrmex_balzani,ant,NA,NA,NA,NA,NA,NA,NA,3,4,1,"males when queenless, otherwise policed. described in Dijkstra, M. B., Nash, D. R. & Boomsma, J. J. 2005. Self-restraint and sterility in workers of Acromyrmex and Atta leafcutter ants. Insect. Soc. 52: 67-76.",NA,0,0,0,0,0
Formicidae,Myrmicinae,Attini,Acromyrmex,Acromyrmex_crassispinus,ant,NA,NA,NA,NA,NA,NA,NA,3,4,1,"males when queenless, otherwise policed. described in Dijkstra, M. B., Nash, D. R. & Boomsma, J. J. 2005. Self-restraint and sterility in workers of Acromyrmex and Atta leafcutter ants. Insect. Soc. 52: 67-76.",NA,0,0,0,0,0
Formicidae,Myrmicinae,Attini,Acromyrmex,Acromyrmex_insinuator,ant,NA,"Wilson,1978; Dijkstra et al., 2005",2800,"Ferguson-Gow, 2014; Jaffe et al., 2012 - (Sumner et al., 2004a; Sumner et al., 2004b)",1.09,NA,NA,3,4,1,"males when queenless, otherwise policed. described in Dijkstra, M. B., Nash, D. R. & Boomsma, J. J. 2005. Self-restraint and sterility in workers of Acromyrmex and Atta leafcutter ants. Insect. Soc. 52: 67-76.",NA,0,1,0,0,0
